Year,Month,Date,Close,Volume,V2,PPIACO,Result
2000,9,2000-09-01,30.860001,1641888,4853.2,134.7,1
2000,11,2000-11-01,33.799999,1259132,4880.3,135,1
2000,12,2000-12-01,26.799999,1244493,4925,136.2,0
2001,1,2001-01-01,28.700001,1418354,4975.7,140,1
2001,2,2001-02-01,27.42,1323734,5014.1,137.4,1
2001,3,2001-03-01,26.4,1461571,5072,135.9,1
2001,5,2001-05-01,28.370001,1209471,5133,136.8,1
2001,6,2001-06-01,26.25,1579933,5173.5,135.5,1
2001,8,2001-08-01,27.200001,1463964,5237.2,133.4,0
2001,9,2001-09-01,23.43,926078,5348.4,133.3,1
2001,10,2001-10-01,21.18,1379829,5337.1,130.3,0
2001,11,2001-11-01,19.440001,1511304,5380.8,129.8,0
2001,12,2001-12-01,19.84,1268254,5433.8,128.1,0
2002,1,2002-01-01,19.48,1581339,5454.1,128.5,1
2002,2,2002-02-01,21.85,1499673,5483.4,128.4,1
2002,3,2002-03-01,26.23,1641453,5495.2,129.8,1
2002,4,2002-04-01,27.290001,1848411,5495.4,130.8,1
2002,5,2002-05-01,25.35,1956382,5521.5,130.8,0
2002,6,2002-06-01,26.860001,1480771,5546.5,130.9,1
2002,7,2002-07-01,27.02,1677541,5589.1,131.2,1
2002,8,2002-08-01,28.98,1816652,5631.6,131.5,1
2002,10,2002-10-01,27.219999,1948709,5700.4,133.2,1
2002,11,2002-11-01,26.889999,1620891,5750.6,133.1,0
2003,1,2003-01-01,33.509998,1943096,5804.6,135.3,1
2003,2,2003-02-01,36.599998,1766013,5840.7,137.6,1
2003,3,2003-03-01,31.040001,1693911,5861.4,141.2,1
2003,4,2003-04-01,25.799999,1516421,5898.8,136.8,0
2003,5,2003-05-01,29.559999,1669673,5959.3,136.7,0
2003,7,2003-07-01,30.540001,1606181,6042.7,137.7,1
2003,8,2003-08-01,31.57,1784765,6100.8,138,1
2003,9,2003-09-01,29.200001,1683600,6072.8,138.5,1
2003,10,2003-10-01,29.110001,1779100,6063.6,139.3,0
2003,11,2003-11-01,30.41,1632868,6069.1,138.9,0
2003,12,2003-12-01,32.52,1599008,6067.3,139.5,0
2004,1,2004-01-01,33.049999,1903087,6075.5,141.4,1
2004,3,2004-03-01,35.759998,2041599,6150.1,143.1,1
2004,4,2004-04-01,37.380001,2019727,6191.2,144.8,1
2004,5,2004-05-01,39.880001,1949567,6268.1,146.8,1
2004,6,2004-06-01,37.049999,2004205,6270.5,147.2,1
2004,7,2004-07-01,43.799999,1820316,6284.3,147.4,0
2004,9,2004-09-01,49.639999,2097767,6345.3,147.7,1
2004,10,2004-10-01,51.759998,2157611,6373.3,150,1
2004,11,2004-11-01,49.130001,1920477,6399.8,151.4,1
2004,12,2004-12-01,43.450001,1899663,6418.3,150.2,0
2005,1,2005-01-01,48.200001,1968166,6424.5,150.9,1
2005,2,2005-02-01,51.75,1686561,6432.8,151.6,1
2005,3,2005-03-01,55.400002,2181030,6441.9,153.7,1
2005,4,2005-04-01,49.720001,2196698,6455.9,155,1
2005,6,2005-06-01,56.5,2242541,6505.8,154.3,1
2005,7,2005-07-01,60.57,2135377,6537.4,156.3,1
2005,8,2005-08-01,68.940002,2488887,6570.2,157.6,1
2005,9,2005-09-01,66.239998,2269251,6604.3,162.2,1
2005,10,2005-10-01,59.759998,2023131,6638.6,166.2,1
2005,11,2005-11-01,57.32,1971974,6655,163.7,0
2005,12,2005-12-01,61.040001,1891467,6681.9,163,0
2006,2,2006-02-01,61.41,2326517,6748.6,161.8,1
2006,3,2006-03-01,66.629997,2386391,6762.9,162.2,1
2006,4,2006-04-01,71.879997,2170291,6800.1,164.3,1
2006,5,2006-05-01,71.290001,2533163,6806.9,165.8,1
2006,6,2006-06-01,73.980003,2237163,6844.9,166.1,1
2006,7,2006-07-01,74.400002,1871824,6886.3,166.8,1
2006,8,2006-08-01,70.260002,2089659,6917.1,167.9,1
2006,9,2006-09-01,62.91,2605508,6944.2,165.4,0
2006,11,2006-11-01,63.130001,3672965,7028.4,164.6,0
2006,12,2006-12-01,61.049999,3343134,7071.6,165.6,1
2007,1,2007-01-01,58.139999,5193859,7109.6,164,1
2007,2,2007-02-01,61.790001,5154484,7125.3,166.8,1
2007,3,2007-03-01,65.870003,4948480,7159.1,169.3,1
2007,5,2007-05-01,64.010002,4884743,7245.4,173.3,1
2007,6,2007-06-01,70.68,4625026,7278.6,173.8,1
2007,8,2007-08-01,74.040001,5184742,7385.1,172.4,0
2007,9,2007-09-01,81.660004,5103484,7403.2,173.5,1
2007,10,2007-10-01,94.529999,6263924,7417.2,174.7,1
2007,11,2007-11-01,88.709999,6632640,7441.8,179,1
2007,12,2007-12-01,95.980003,4496780,7471.6,178.6,0
2008,1,2008-01-01,91.75,5744195,7505.5,181,1
2008,2,2008-02-01,101.839996,5352385,7590.6,182.7,1
2008,3,2008-03-01,101.580002,6349475,7656.2,187.9,1
2008,4,2008-04-01,113.459999,5854686,7699.2,190.9,1
2008,5,2008-05-01,127.349998,7054428,7711.2,196.6,1
2008,7,2008-07-01,124.080002,6083909,7775.4,205.5,1
2008,8,2008-08-01,115.459999,5692611,7790.2,199,0
2008,9,2008-09-01,100.639999,5950416,7859.5,196.9,0
2008,10,2008-10-01,67.809998,5903035,7965.3,186.4,0
2008,11,2008-11-01,54.43,4752064,8015.8,176.8,0
2008,12,2008-12-01,44.599998,4640198,8192.1,170.9,0
2009,1,2009-01-01,41.68,5452571,8273.7,171.2,1
2009,4,2009-04-01,51.119999,4954274,8372.9,169.1,1
2009,5,2009-05-01,66.309998,5254102,8430.7,170.8,1
2009,6,2009-06-01,69.889999,5843371,8440.5,174.1,1
2009,7,2009-07-01,69.449997,6155493,8445.1,172.5,0
2009,8,2009-08-01,69.959999,5930812,8445,175,1
2009,9,2009-09-01,70.610001,5938598,8444.2,174.1,1
2009,10,2009-10-01,77,7286480,8471.1,175.2,1
2009,12,2009-12-01,79.360001,5820203,8496,178.1,0
2010,1,2010-01-01,72.889999,5645255,8458.1,181.9,1
2010,2,2010-02-01,79.660004,6769263,8507.4,181,0
2010,3,2010-03-01,83.760002,6836560,8504.5,183.3,1
2010,4,2010-04-01,86.150002,7622339,8535.2,184.4,1
2010,5,2010-05-01,73.970001,8409610,8589.9,184.8,1
2010,6,2010-06-01,75.629997,7515626,8609,183.5,0
2010,7,2010-07-01,78.949997,6459054,8618.8,184.1,0
2010,9,2010-09-01,79.970001,7092675,8700.1,184.9,1
2010,10,2010-10-01,81.43,6834324,8749.4,186.6,1
2010,11,2010-11-01,84.110001,7047186,8770,187.7,0
2010,12,2010-12-01,91.379997,5666635,8801.8,189.7,1
2011,1,2011-01-01,92.190002,7342599,8823.1,192.7,1
2011,2,2011-02-01,96.970001,6702855,8886.9,195.8,1
2011,3,2011-03-01,106.720001,7142807,8943.5,199.2,1
2011,4,2011-04-01,113.93,5906063,9004.9,203.1,1
2011,6,2011-06-01,95.419998,7612897,9151,203.9,0
2011,7,2011-07-01,95.699997,5712768,9316.6,204.6,0
2011,8,2011-08-01,88.809998,8623260,9507.6,203.2,1
2011,9,2011-09-01,79.199997,6687717,9528.3,203.7,1
2011,10,2011-10-01,93.190002,6923687,9562.1,201.1,0
2011,11,2011-11-01,100.360001,6546619,9612.6,201.4,0
2011,12,2011-12-01,98.830002,4905263,9660.1,199.8,0
2012,2,2012-02-01,107.07,5837415,9785.7,201.6,1
2012,3,2012-03-01,103.019997,6022417,9830.6,204.2,1
2012,5,2012-05-01,86.529999,6008992,9928.4,201.9,0
2012,6,2012-06-01,84.959999,6321933,9999.3,199.8,0
2012,8,2012-08-01,96.470001,5267722,10121.3,202.7,1
2012,9,2012-09-01,92.190002,4549667,10200.8,204.4,1
2012,10,2012-10-01,86.239998,5491372,10267.3,203.5,0
2012,11,2012-11-01,88.910004,5396754,10337.6,201.8,0
2012,12,2012-12-01,91.82,3789627,10459.7,201.5,0
2013,1,2013-01-01,97.489998,4573516,10482.9,202.5,1
2013,2,2013-02-01,92.050003,4427942,10501.3,204.3,1
2013,3,2013-03-01,97.230003,4226621,10558.3,204,1
2013,4,2013-04-01,93.459999,5632039,10586.3,203.5,0
2013,5,2013-05-01,91.970001,6126412,10621,204.1,1
2013,6,2013-06-01,96.559998,5266358,10678.7,204.3,1
2013,7,2013-07-01,105.029999,5636543,10718.4,204.4,0
2013,8,2013-08-01,107.650002,5634934,10776.6,204.2,1
2013,10,2013-10-01,96.379997,5458477,10961.6,202.5,0
2013,11,2013-11-01,92.720001,4709460,10969.7,201.2,0
2014,1,2014-01-01,97.489998,4699881,11080.8,203.8,1
2014,2,2014-02-01,102.589996,4092761,11178.8,205.7,1
2014,3,2014-03-01,101.580002,4805002,11208.1,207,1
2014,4,2014-04-01,99.739998,4991696,11257.7,208.3,1
2014,5,2014-05-01,102.709999,4580697,11321,208,1
2014,7,2014-07-01,98.169998,5346395,11429.9,208,0
2014,8,2014-08-01,95.959999,4773185,11458.9,207,0
2014,9,2014-09-01,91.160004,5762880,11499.8,206.4,1
2014,10,2014-10-01,80.540001,7448385,11566,203.4,0
2014,11,2014-11-01,66.150002,6055929,11604.8,200.9,0
2014,12,2014-12-01,53.27,6919717,11684.9,197,0
2015,1,2015-01-01,48.240002,7699363,11745.6,192,0
2015,4,2015-04-01,59.630001,7959153,11928.9,190.9,1
2015,5,2015-05-01,60.299999,6651435,11957.9,193.4,1
2015,6,2015-06-01,59.470001,6767902,12001.7,194.8,1
2015,7,2015-07-01,47.119999,7403886,12051.3,193.9,0
2015,8,2015-08-01,49.200001,8594213,12101.9,191.9,0
2015,9,2015-09-01,45.09,8283967,12160.8,189.1,0
2015,10,2015-10-01,46.59,8628176,12195.9,187.5,0
2015,12,2015-12-01,37.040001,8971442,12346.8,183.5,0
2016,1,2016-01-01,33.619999,11048634,12469.9,182.6,1
2016,2,2016-02-01,33.75,11959964,12556.7,181.3,1
2016,3,2016-03-01,38.34,11329978,12616.7,182.1,1
2016,4,2016-04-01,45.919998,12383923,12700.4,183.2,1
2016,6,2016-06-01,48.330002,10863962,12829.4,187.6,1
2016,7,2016-07-01,41.599998,9855331,12887.7,187.7,0
2016,8,2016-08-01,44.700001,12064000,12972.8,186.6,1
2016,9,2016-09-01,48.240002,13029632,13033.6,186.9,1
2016,10,2016-10-01,46.860001,11347381,13100.5,186.7,1
2016,11,2016-11-01,49.439999,14128000,13173.4,186.3,0
2016,12,2016-12-01,53.720001,11030474,13213.4,188.2,0
2017,2,2017-02-01,54.009998,9715204,13358.8,191.6,1
2017,3,2017-03-01,50.599998,13199894,13426.9,191.5,1
2017,4,2017-04-01,49.330002,10289042,13484.9,193,1
2017,5,2017-05-01,48.32,14784124,13538.1,192.8,1
2017,6,2017-06-01,46.040001,16095333,13559.2,193.6,1
2017,7,2017-07-01,50.169998,15266208,13618.7,193.5,0
2017,8,2017-08-01,47.23,17972501,13673.7,193.8,1
2017,9,2017-09-01,51.669998,12837171,13717.9,194.8,1
2017,11,2017-11-01,57.400002,13087384,13799.9,195.9,0
2017,12,2017-12-01,60.419998,9873595,13857.9,196.3,0
2018,1,2018-01-01,64.730003,13358234,13869.7,197.9,1
2018,2,2018-02-01,61.639999,12729450,13912.3,199.3,1
2018,3,2018-03-01,64.940002,13059840,13970.2,199.3,1
2018,5,2018-05-01,67.040001,15729291,14047.2,203.2,1
2018,6,2018-06-01,74.150002,13628570,14103.6,204.2,1
2018,8,2018-08-01,69.800003,10826163,14181.3,203.4,1
2018,9,2018-09-01,73.25,10673802,14212.9,203.6,1
2018,10,2018-10-01,65.309998,13521457,14222.5,204.6,1
2018,11,2018-11-01,50.93,15784511,14236.8,202.3,0
2018,12,2018-12-01,45.41,12944224,14362.7,201,0
2019,1,2019-01-01,53.790001,14922969,14430,199.1,1
2019,2,2019-02-01,57.220001,11198402,14469.9,199.2,1
2019,3,2019-03-01,60.139999,12715337,14509.9,200.8,1
2019,4,2019-04-01,63.91,14068153,14541,202.1,1
2019,5,2019-05-01,53.5,16862619,14643.2,201.7,1
2019,6,2019-06-01,58.470001,13290297,14757.7,200.3,0
2019,7,2019-07-01,58.580002,12395594,14840.6,200.7,1
2019,8,2019-08-01,55.099998,14650885,14914.6,199.2,0
2019,10,2019-10-01,54.18,11751844,15140.8,198.6,1
2019,11,2019-11-01,55.169998,10112807,15242.2,199,0
2020,1,2020-01-01,51.560001,13141261,15396,199.3,1
2020,2,2020-02-01,44.759998,13979728,15450.3,196.7,1
2020,4,2020-04-01,18.84,16824885,16997.6,185.5,0
2020,5,2020-05-01,35.490002,6304127,17851.1,188.6,0
2020,6,2020-06-01,39.27,7923564,18131.7,191.2,1
2020,7,2020-07-01,40.27,7151922,18286.3,193,1
2020,8,2020-08-01,42.610001,6720832,18346,194.3,1
2020,9,2020-09-01,40.220001,7025110,18577.3,195.5,1
